100640425
tensor(0.3279, device='cuda:0')
tensor(1.4767, device='cuda:0')
tensor(0.1859, device='cuda:0')
tensor(1.0480, device='cuda:0')
tensor(0.4290, device='cuda:0')
tensor(0.5255, device='cuda:0')
tensor(0.3622, device='cuda:0')
tensor(0.2828, device='cuda:0')
tensor(0.3355, device='cuda:0')
tensor(0.2933, device='cuda:0')
tensor(0.4278, device='cuda:0')
tensor(0.2767, device='cuda:0')
tensor(0.4748, device='cuda:0')
tensor(0.3204, device='cuda:0')
tensor(0.3875, device='cuda:0')
tensor(0.4358, device='cuda:0')
tensor(0.2930, device='cuda:0')
tensor(0.2974, device='cuda:0')
tensor(0.4588, device='cuda:0')
tensor(0.3631, device='cuda:0')
tensor(0.2831, device='cuda:0')
tensor(0.4541, device='cuda:0')
tensor(1.0353, device='cuda:0')
tensor(0.5908, device='cuda:0')
tensor(0.2928, device='cuda:0')
tensor(0.3292, device='cuda:0')
tensor(0.5652, device='cuda:0')
tensor(1.8816, device='cuda:0')
tensor(0.7747, device='cuda:0')
tensor(0.3204, device='cuda:0')
tensor(0.7033, device='cuda:0')
tensor(0.4880, device='cuda:0')
tensor(0.3522, device='cuda:0')
tensor(0.4184, device='cuda:0')
tensor(0.4414, device='cuda:0')
tensor(0.3312, device='cuda:0')
tensor(0.2628, device='cuda:0')
tensor(0.5589, device='cuda:0')
tensor(0.4123, device='cuda:0')
tensor(0.3510, device='cuda:0')
tensor(0.4291, device='cuda:0')
tensor(0.4101, device='cuda:0')
tensor(0.3481, device='cuda:0')
tensor(0.8004, device='cuda:0')
tensor(0.4790, device='cuda:0')
tensor(1.0688, device='cuda:0')
tensor(0.5244, device='cuda:0')
tensor(0.7232, device='cuda:0')
tensor(1.6372, device='cuda:0')
tensor(0.2903, device='cuda:0')
tensor(0.5446, device='cuda:0')
tensor(0.6285, device='cuda:0')
tensor(0.8390, device='cuda:0')
tensor(0.6348, device='cuda:0')
tensor(0.4831, device='cuda:0')
tensor(0.3654, device='cuda:0')
tensor(0.5129, device='cuda:0')
tensor(0.3806, device='cuda:0')
tensor(0.2597, device='cuda:0')
tensor(0.3197, device='cuda:0')
tensor(0.6365, device='cuda:0')
tensor(0.4469, device='cuda:0')
tensor(0.3178, device='cuda:0')
tensor(0.4855, device='cuda:0')
tensor(0.3620, device='cuda:0')
tensor(0.2500, device='cuda:0')
tensor(0.2473, device='cuda:0')
tensor(1.3505, device='cuda:0')
tensor(0.6084, device='cuda:0')
tensor(0.3785, device='cuda:0')
tensor(0.4628, device='cuda:0')
tensor(0.6552, device='cuda:0')
tensor(0.4527, device='cuda:0')
tensor(0.4588, device='cuda:0')
tensor(0.3371, device='cuda:0')
tensor(0.4636, device='cuda:0')
tensor(0.3624, device='cuda:0')
tensor(0.2926, device='cuda:0')
tensor(0.4229, device='cuda:0')
